,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,v t e Political divisions of the United States States Alabama · Alaska · Arizona · Arkansas · California · Colorado · Connecticut · Delaware · Florida · Georgia · Hawaii · Idaho · Illinois · Indiana · Iowa · Kansas · Kentucky · Louisiana · Maine · Maryland · Massachusetts · Michigan · Minnesota · Mississippi · Missouri · Montana · Nebraska · Nevada · New Hampshire · New Jersey · New Mexico · New York · North Carolina · North Dakota · Ohio · Oklahoma · Oregon · Pennsylvania · Rhode Island · South Carolina · South Dakota · Tennessee · Texas · Utah · Vermont · Virginia · Washington · West Virginia · Wisconsin · Wyoming National capital District of Columbia Large islands American Samoa · Guam · Northern Mariana Islands · Puerto Rico · U.S. Virgin Islands Small islands Baker Island · Howland Island · Jarvis Island · Johnston Atoll · Kingman Reef · Midway Atoll · Navassa Island · Palmyra Atoll · Wake Island,v t e Political divisions of the United States,,States,Alabama · Alaska · Arizona · Arkansas · California · Colorado · Connecticut · Delaware · Florida · Georgia · Hawaii · Idaho · Illinois · Indiana · Iowa · Kansas · Kentucky · Louisiana · Maine · Maryland · Massachusetts · Michigan · Minnesota · Mississippi · Missouri · Montana · Nebraska · Nevada · New Hampshire · New Jersey · New Mexico · New York · North Carolina · North Dakota · Ohio · Oklahoma · Oregon · Pennsylvania · Rhode Island · South Carolina · South Dakota · Tennessee · Texas · Utah · Vermont · Virginia · Washington · West Virginia · Wisconsin · Wyoming,,National capital,District of Columbia,,Large islands,American Samoa · Guam · Northern Mariana Islands · Puerto Rico · U.S. Virgin Islands,,Small islands,Baker Island · Howland Island · Jarvis Island · Johnston Atoll · Kingman Reef · Midway Atoll · Navassa Island · Palmyra Atoll · Wake Island
1,v t e Political divisions of the United States,,,,,,,,,,,,,
2,,,,,,,,,,,,,,
3,States,Alabama · Alaska · Arizona · Arkansas · California · Colorado · Connecticut · Delaware · Florida · Georgia · Hawaii · Idaho · Illinois · Indiana · Iowa · Kansas · Kentucky · Louisiana · Maine · Maryland · Massachusetts · Michigan · Minnesota · Mississippi · Missouri · Montana · Nebraska · Nevada · New Hampshire · New Jersey · New Mexico · New York · North Carolina · North Dakota · Ohio · Oklahoma · Oregon · Pennsylvania · Rhode Island · South Carolina · South Dakota · Tennessee · Texas · Utah · Vermont · Virginia · Washington · West Virginia · Wisconsin · Wyoming,,,,,,,,,,,,
4,,,,,,,,,,,,,,
5,National capital,District of Columbia,,,,,,,,,,,,
6,,,,,,,,,,,,,,
7,Large islands,American Samoa · Guam · Northern Mariana Islands · Puerto Rico · U.S. Virgin Islands,,,,,,,,,,,,
8,,,,,,,,,,,,,,
9,Small islands,Baker Island · Howland Island · Jarvis Island · Johnston Atoll · Kingman Reef · Midway Atoll · Navassa Island · Palmyra Atoll · Wake Island,,,,,,,,,,,,
